Far field
"Theta"[deg]	"FarField1 [m^2]"	
-9.00000000E+01	8.38475612E-13	
-8.90000000E+01	2.14806754E-08	
-8.80000000E+01	8.59117188E-08	
-8.70000000E+01	1.93267676E-07	
-8.60000000E+01	3.43504525E-07	
-8.50000000E+01	5.36560219E-07	
-8.40000000E+01	7.72354277E-07	
-8.30000000E+01	1.05078725E-06	
-8.20000000E+01	1.37174011E-06	
-8.10000000E+01	1.73507345E-06	
-8.00000000E+01	2.14062670E-06	
-7.90000000E+01	2.58821710E-06	
-7.80000000E+01	3.07763872E-06	
-7.70000000E+01	3.60866124E-06	
-7.60000000E+01	4.18102878E-06	
-7.50000000E+01	4.79445855E-06	
-7.40000000E+01	5.44863946E-06	
-7.30000000E+01	6.14323069E-06	
-7.20000000E+01	6.87786012E-06	
-7.10000000E+01	7.65212284E-06	
-7.00000000E+01	8.46557945E-06	
-6.90000000E+01	9.31775448E-06	
-6.80000000E+01	1.02081347E-05	
-6.70000000E+01	1.11361674E-05	
-6.60000000E+01	1.21012587E-05	
-6.50000000E+01	1.31027721E-05	
-6.40000000E+01	1.41400263E-05	
-6.30000000E+01	1.52122942E-05	
-6.20000000E+01	1.63188008E-05	
-6.10000000E+01	1.74587220E-05	
-6.00000000E+01	1.86311829E-05	
-5.90000000E+01	1.98352567E-05	
-5.80000000E+01	2.10699632E-05	
-5.70000000E+01	2.23342675E-05	
-5.60000000E+01	2.36270793E-05	
-5.50000000E+01	2.49472519E-05	
-5.40000000E+01	2.62935811E-05	
-5.30000000E+01	2.76648049E-05	
-5.20000000E+01	2.90596029E-05	
-5.10000000E+01	3.04765963E-05	
-5.00000000E+01	3.19143473E-05	
-4.90000000E+01	3.33713597E-05	
-4.80000000E+01	3.48460791E-05	
-4.70000000E+01	3.63368935E-05	
-4.60000000E+01	3.78421340E-05	
-4.50000000E+01	3.93600758E-05	
-4.40000000E+01	4.08889396E-05	
-4.30000000E+01	4.24268932E-05	
-4.20000000E+01	4.39720530E-05	
-4.10000000E+01	4.55224865E-05	
-4.00000000E+01	4.70762141E-05	
-3.90000000E+01	4.86312118E-05	
-3.80000000E+01	5.01854143E-05	
-3.70000000E+01	5.17367177E-05	
-3.60000000E+01	5.32829833E-05	
-3.50000000E+01	5.48220406E-05	
-3.40000000E+01	5.63516915E-05	
-3.30000000E+01	5.78697143E-05	
-3.20000000E+01	5.93738678E-05	
-3.10000000E+01	6.08618962E-05	
-3.00000000E+01	6.23315334E-05	
-2.90000000E+01	6.37805080E-05	
-2.80000000E+01	6.52065485E-05	
-2.70000000E+01	6.66073882E-05	
-2.60000000E+01	6.79807711E-05	
-2.50000000E+01	6.93244569E-05	
-2.40000000E+01	7.06362265E-05	
-2.30000000E+01	7.19138881E-05	
-2.20000000E+01	7.31552829E-05	
-2.10000000E+01	7.43582902E-05	
-2.00000000E+01	7.55208338E-05	
-1.90000000E+01	7.66408878E-05	
-1.80000000E+01	7.77164816E-05	
-1.70000000E+01	7.87457063E-05	
-1.60000000E+01	7.97267197E-05	
-1.50000000E+01	8.06577521E-05	
-1.40000000E+01	8.15371114E-05	
-1.30000000E+01	8.23631881E-05	
-1.20000000E+01	8.31344607E-05	
-1.10000000E+01	8.38494997E-05	
-1.00000000E+01	8.45069727E-05	
-9.00000000E+00	8.51056481E-05	
-8.00000000E+00	8.56443994E-05	
-7.00000000E+00	8.61222085E-05	
-6.00000000E+00	8.65381693E-05	
-5.00000000E+00	8.68914902E-05	
-4.00000000E+00	8.71814973E-05	
-3.00000000E+00	8.74076357E-05	
-2.00000000E+00	8.75694724E-05	
-1.00000000E+00	8.76666967E-05	
0.00000000E+00	8.76991221E-05	
1.00000000E+00	8.76666862E-05	
2.00000000E+00	8.75694514E-05	
